"pmuri","pm","partyname","partynameenglish","electiondate","position"
"http://dbpedia.org/resource/Robert_Peel","Peel, Robert",,"Conservative Party",1841-07-22,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Robert_Peel","Sir Robert Peel",,"Conservative Party",1841-07-22,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/John_Russell,_1st_Earl_Russell","The Earl Russell","Liberal Party",,1847-08-26,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/John_Russell,_1st_Earl_Russell","The Earl Russell","Liberal Party",,1847-08-26,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Edward_Smith-Stanley,_14th_Earl_of_Derby","Derby, Edward Smith-Stanley, 14th Earl Of",,"Conservative Party",1852-07-31,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Edward_Smith-Stanley,_14th_Earl_of_Derby","Edward, Earl of Derby",,"Conservative Party",1852-07-31,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Edward_Smith-Stanley,_14th_Earl_of_Derby","The Earl of Derby",,"Conservative Party",1852-07-31,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Viscount Palmerston","Liberal Party",,1857-04-24,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Viscount Palmerston","Liberal Party",,1857-04-24,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Palmerston, Henry John Temple, 3rd Viscount","Liberal Party",,1857-04-24,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Palmerston, Henry John Temple, 3rd Viscount","Liberal Party",,1857-04-24,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Viscount Palmerston","Liberal Party",,1859-05-18,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Viscount Palmerston","Liberal Party",,1859-05-18,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Palmerston, Henry John Temple, 3rd Viscount","Liberal Party",,1859-05-18,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Palmerston, Henry John Temple, 3rd Viscount","Liberal Party",,1859-05-18,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Viscount Palmerston","Liberal Party",,1865-07-24,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Viscount Palmerston","Liberal Party",,1865-07-24,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Palmerston, Henry John Temple, 3rd Viscount","Liberal Party",,1865-07-24,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/Henry_John_Temple,_3rd_Viscount_Palmerston","Palmerston, Henry John Temple, 3rd Viscount","Liberal Party",,1865-07-24,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart","Liberal Party",,1868-12-07,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart","Liberal Party",,1868-12-07,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone","Liberal Party",,1868-12-07,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone","Liberal Party",,1868-12-07,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart",,"Conservative Party",1868-12-07,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone",,"Conservative Party",1868-12-07,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","The Tragedy of Count Alarcos",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","The Rise of Iskander",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Disraeli, Benjamin, Earl of Beaconsfield",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Benjamin Disraeli",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Sybil or, The Two Nations",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Popanilla",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","The Earl of Beaconsfield",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Lothair",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Tancred",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Endymion",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Coningsby",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Venetia",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/Benjamin_Disraeli","Vivian Grey",,"Conservative Party",1874-02-17,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart","Liberal Party",,1880-04-05,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart","Liberal Party",,1880-04-05,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone","Liberal Party",,1880-04-05,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone","Liberal Party",,1880-04-05,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart",,"Conservative Party",1880-04-05,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone",,"Conservative Party",1880-04-05,"http://dbpedia.org/resource/Centre-right"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart","Liberal Party",,1880-04-27,"http://dbpedia.org/resource/Centre-left"
"http://dbpedia.org/resource/William_Ewart_Gladstone","Gladstone, William Ewart","Liberal Party",,1880-04-27,"http://dbpedia.org/resource/Centrism"
"http://dbpedia.org/resource/William_Ewart_Gladstone","William Ewart Gladstone","Liberal Party",,1880-04-27,"http://dbpedia.org/resource/Centre-left"
